,TUCASEID,TRTALONE,TRNUMHOU,TRSPPRES,TELFS,TRTSPONLY,TRTFAMILY,TEAGE,TESEX,YEAR
309053,20101009101005,120,4,1,1,0,810,19,1,2010
111782,20050503051865,700,5,3,5,0,250,46,1,2005
142979,20060301062119,0,6,3,1,0,0,23,2,2006
156516,20060706061204,105,3,1,1,223,337,40,2,2006
524134,20170908170698,15,4,1,1,785,785,36,2,2017
132265,20051110052094,235,1,3,1,0,0,58,2,2005
615713,20210605211540,510,2,1,5,120,255,76,2,2021
172421,20061211062456,130,6,3,1,0,395,44,2,2006
638867,20220706221485,240,2,1,5,480,540,77,1,2022
426312,20140403141712,130,7,1,1,0,170,55,1,2014
48644,20031009033589,120,3,3,1,0,550,47,2,2003
582334,20200112190373,460,3,3,5,0,200,43,1,2020
513460,20170403170917,126,1,3,1,0,0,28,2,2017
18853,20030403033130,169,4,3,1,0,41,48,2,2003
162954,20060908061868,90,4,3,1,0,55,43,2,2006
181647,20070302072375,120,5,3,1,0,290,51,2,2007
361031,20120402120768,90,3,3,1,0,290,36,2,2012
32604,20030706032591,360,3,3,1,0,165,49,1,2003
122886,20050807051967,430,5,3,1,0,320,52,2,2005
121390,20050807050504,450,1,3,1,0,0,80,1,2005
345993,20111010110966,15,2,2,5,0,370,52,2,2011
417006,20140111130508,580,3,3,4,0,380,56,1,2014
210435,20080201080024,261,6,1,1,0,294,59,1,2008
436613,20140807142024,175,2,1,5,405,405,63,1,2014
294644,20100504101582,630,2,1,1,240,240,62,2,2010
585538,20200212191651,10,3,3,1,0,890,31,1,2020
12230,20030302031658,57,5,1,4,60,850,53,2,2003
306480,20100908101063,735,1,3,5,0,0,67,2,2010
101738,20050112042170,120,5,1,1,0,185,42,1,2005
646982,20221211221394,269,3,1,5,593,593,75,2,2022
228640,20080807080537,205,1,3,1,0,831,26,2,2008
621607,20210908211796,0,2,1,5,780,780,66,1,2021
444283,20141110141884,20,2,2,1,0,0,26,1,2014
302848,20100807100675,86,4,2,1,0,1029,29,1,2010
437771,20140908140128,135,5,3,1,0,0,73,1,2014
627948,20220111211472,573,1,3,1,0,0,41,1,2022
545810,20180706180696,960,2,1,1,0,0,32,2,2018
381166,20121110120813,510,2,1,5,470,470,69,2,2012
140984,20060201061628,760,4,3,1,0,0,32,2,2006
331610,20110504112502,0,7,3,5,0,960,20,1,2011
117289,20050605052514,250,2,1,1,0,0,60,1,2005
554003,20181110180856,1108,1,3,5,0,0,62,2,2018
565306,20190403192513,205,5,1,1,0,0,55,1,2019
561045,20190212180536,90,1,3,1,0,0,64,2,2019
294043,20100504101074,390,4,3,1,0,480,43,2,2010
500615,20161010161355,77,2,1,1,678,678,34,1,2016
225637,20080705082146,780,1,3,1,0,5,31,1,2008
105633,20050302050816,590,4,3,4,0,95,44,2,2005
338753,20110807110784,50,3,1,1,60,670,31,1,2011
543474,20180604182468,300,5,1,1,135,225,33,2,2018
557760,20190111181869,410,3,2,1,0,235,37,2,2019
80108,20040706041086,330,4,1,5,0,425,28,2,2004
256931,20090504091328,445,3,3,1,0,124,32,1,2009
30867,20030706030784,0,3,1,1,114,750,31,2,2003
111658,20050503051312,100,5,1,1,10,100,47,2,2005
157071,20060706061817,310,6,3,1,0,0,40,1,2006
325979,20110303112458,375,1,3,5,0,0,85,1,2011
596215,20200907201962,315,3,1,1,165,165,57,2,2020
243930,20090111082163,120,4,1,1,0,630,36,1,2009
498306,20160909160999,120,3,2,1,0,0,26,2,2016
528573,20171110170644,0,5,3,5,0,930,47,1,2017
647946,20230101231717,345,3,1,1,35,35,60,1,2023
424417,20140303140846,30,4,1,1,110,765,44,2,2014
357419,20120202120571,535,2,1,5,215,215,80,1,2012
489831,20160604161728,121,2,1,1,169,599,51,2,2016
57612,20031211033210,120,5,1,5,0,660,36,1,2003
278640,20091211091783,435,6,3,5,0,5,45,2,2009
485977,20160403161451,610,2,1,1,245,245,74,1,2016
98999,20050101052325,150,2,1,1,390,390,47,2,2005
506182,20170112160109,170,4,1,1,15,15,20,1,2017
126858,20050909052417,4,5,2,1,0,43,22,2,2005
443340,20141110140761,500,5,2,4,0,280,23,2,2014
613015,20210504210270,30,5,3,5,0,0,45,1,2021
220575,20080504081326,95,4,3,1,0,47,45,2,2008
569437,20190605192512,315,4,1,1,0,0,57,1,2019
302508,20100806102200,360,3,3,1,0,240,34,2,2010
293606,20100504100632,380,1,3,1,0,0,58,1,2010
193159,20070707071019,290,2,1,5,535,535,51,2,2007
220855,20080504081584,839,4,3,5,0,209,41,2,2008
614619,20210604210304,0,4,3,1,0,820,24,2,2021
194646,20070807071317,425,2,3,5,0,0,67,1,2007
485880,20160403161340,210,6,1,1,0,125,30,2,2016
229027,20080807080932,65,2,1,5,45,135,66,1,2008
309553,20101009101440,595,1,3,1,0,0,50,1,2010
297324,20100605101219,275,3,1,1,0,625,43,1,2010
16379,20030403030524,586,2,1,1,320,380,53,1,2003
395352,20130403131113,285,3,3,4,0,435,51,2,2013
634981,20220503222241,195,3,3,5,0,585,30,2,2022
240400,20081211080027,456,5,3,1,0,0,42,2,2008
185891,20070504070639,110,4,3,1,0,113,45,2,2007
67816,20040302040087,280,2,1,5,479,650,51,2,2004
444397,20141110142025,200,4,1,1,0,460,44,2,2014
331856,20110505111262,425,2,3,1,0,595,24,2,2011
654196,20230403231566,40,5,1,1,150,590,33,1,2023
478708,20160112151099,465,2,1,1,0,0,64,2,2016
153950,20060605061505,94,5,1,1,120,293,50,1,2006
155816,20060706060556,665,3,1,1,230,345,57,1,2006
489000,20160504162197,349,2,1,5,221,341,29,1,2016
509558,20170202171762,0,4,3,1,0,1080,34,2,2017
371117,20120706121972,145,3,1,5,110,650,41,1,2012
473936,20151110151770,174,4,1,1,281,482,32,2,2015
475059,20151210150863,180,5,1,1,0,630,41,1,2015
369807,20120706120525,20,2,1,5,435,925,63,1,2012
59547,20040111030751,447,4,3,1,0,20,46,2,2004
452085,20150201152105,358,5,3,1,0,492,54,2,2015
129791,20051010051406,135,3,1,1,0,90,32,1,2005
360066,20120302122034,625,2,1,5,220,220,58,2,2012
650142,20230201230804,150,2,3,1,0,120,67,1,2023
644119,20221009222238,610,2,2,1,0,0,35,1,2022
407603,20130908130645,610,4,3,1,0,0,30,1,2013
165414,20061009061309,50,2,1,1,185,185,28,1,2006
161105,20060906060647,120,3,3,1,0,66,55,2,2006
660381,20230707232243,15,2,1,1,150,240,24,2,2023
7893,20030201032800,613,2,1,5,297,297,79,2,2003
460188,20150504152259,371,4,1,1,10,446,53,1,2015
184837,20070404070567,75,2,1,5,620,765,60,1,2007
133327,20051210052148,415,4,3,5,0,165,42,2,2005
528638,20171110170737,325,2,3,1,0,0,26,1,2017
101251,20050112041729,255,3,1,1,0,15,53,1,2005
537499,20180302180696,930,1,3,5,0,0,77,2,2018
170800,20061211060846,551,1,3,5,0,0,60,1,2006
336526,20110706111725,55,2,3,1,0,560,45,2,2011
639443,20220707220967,20,2,1,5,790,790,80,1,2022
449054,20150112140682,220,2,1,1,40,360,25,1,2015
568814,20190605191584,290,2,1,1,0,120,57,1,2019
48953,20031010031995,140,2,3,1,0,165,42,1,2003
23119,20030504032775,450,2,3,1,0,300,35,1,2003
194482,20070807071113,50,4,3,5,0,0,51,2,2007
208597,20080112070819,0,3,1,1,440,840,32,1,2008
645062,20221110220685,205,3,1,5,585,625,44,2,2022
493015,20160706161805,195,3,1,2,30,90,22,2,2016
658477,20230606232324,145,5,2,5,0,575,21,2,2023
473342,20151110150966,175,6,1,1,120,225,80,1,2015
475758,20151211150911,0,7,3,3,0,720,63,1,2015
627125,20211211212334,380,3,1,4,40,495,37,1,2021
576880,20191009191964,690,2,1,5,30,30,71,2,2019
199139,20071008071329,265,4,3,1,0,0,67,1,2007
543144,20180505182373,75,2,3,5,0,0,23,1,2018
386779,20130112120137,800,2,3,5,0,0,30,2,2013
307268,20100908101916,650,7,3,4,0,300,51,2,2010
403549,20130706131903,6,4,1,1,180,422,30,2,2013
433500,20140706141240,195,5,1,1,120,210,44,2,2014
125721,20050908051665,155,5,1,1,0,450,47,1,2005
527982,20171010171707,105,2,3,1,0,230,47,2,2017
279414,20091212091658,0,2,1,1,120,930,52,1,2009
83127,20040807040962,835,1,3,5,0,0,73,2,2004
270021,20090908092174,120,3,1,1,0,0,38,2,2009
167343,20061109060539,545,4,1,1,0,415,50,1,2006
656402,20230504231965,100,2,1,1,560,560,58,1,2023
430763,20140605141060,70,3,1,1,90,360,64,2,2014
651121,20230202232485,346,2,3,1,0,0,64,1,2023
67362,20040212033620,15,2,1,1,0,388,55,2,2004
560713,20190201192345,565,4,1,1,95,255,24,1,2019
85822,20040907041746,100,4,1,1,0,220,32,2,2004
522412,20170807170990,545,2,1,5,320,320,72,2,2017
389904,20130201131511,108,4,1,1,80,235,45,1,2013
89814,20041009041229,735,1,3,1,0,210,80,1,2004
275268,20091110091566,390,5,3,5,0,270,22,1,2009
265874,20090807091308,250,6,1,1,0,30,54,1,2009
79097,20040705040838,220,5,3,1,0,95,37,1,2004
50312,20031110030899,270,5,1,1,0,450,37,1,2003
251356,20090302091916,500,1,3,5,0,0,80,2,2009
500788,20161010162266,60,3,1,1,0,685,36,2,2016
404335,20130707131520,393,1,3,5,0,295,80,2,2013
632576,20220303221103,367,2,3,5,0,543,19,2,2022
268728,20090908090885,113,3,3,5,0,67,53,1,2009
505314,20170101171652,870,2,1,5,45,45,63,1,2017
259697,20090605090857,276,4,1,1,0,210,40,2,2009
437247,20140808142251,520,3,3,5,0,360,54,2,2014
629069,20220112211910,450,2,3,5,0,270,21,2,2022
434583,20140707140681,465,2,1,1,130,130,55,2,2014
97717,20041211042509,40,4,1,2,0,710,35,2,2004
345021,20111009111715,770,6,3,1,0,30,22,1,2011
80187,20040706041156,645,4,3,5,0,15,36,2,2004
425310,20140403140121,588,3,1,1,192,192,72,1,2014
141605,20060201062263,55,8,1,5,152,875,43,2,2006
233306,20080908082146,810,3,3,4,0,0,61,1,2008
306953,20100908101583,233,2,3,1,0,133,55,2,2010
666638,20231110231799,125,3,1,1,90,90,20,1,2023
359918,20120302121886,0,3,1,1,210,840,49,2,2012
588171,20200504201370,85,3,1,1,225,245,31,2,2020
252634,20090303092092,141,2,1,1,328,663,57,1,2009
379793,20121010120547,127,2,3,1,0,0,24,1,2012
248160,20090201092151,90,2,1,1,0,0,67,2,2009
213268,20080301080539,320,4,1,1,0,210,59,2,2008
551014,20180909180076,392,1,3,5,0,0,30,1,2018
305331,20100808102187,406,1,3,5,0,125,85,2,2010
249117,20090212081297,155,4,1,1,75,75,29,2,2009
270763,20091008091321,525,2,3,1,0,265,46,2,2009
522043,20170807170089,105,1,3,5,0,510,63,2,2017
47560,20031009032560,35,4,1,1,0,390,32,2,2003
288716,20100302102124,485,1,3,1,0,0,39,2,2010
87513,20040908041976,495,2,1,1,0,180,74,1,2004
470279,20151008151282,0,1,3,1,0,0,50,2,2015
484589,20160303162019,160,5,1,5,27,747,32,2,2016
379103,20121009121722,60,2,1,1,555,675,51,2,2012
414907,20131211130877,220,2,1,1,475,475,66,1,2013
596222,20200907202004,900,1,3,5,0,0,80,2,2020
640334,20220807221134,377,3,3,4,0,428,45,2,2022
21473,20030504031265,510,6,1,1,90,390,46,2,2003
84423,20040807042121,420,3,1,1,180,660,57,1,2004
547761,20180807180134,43,8,3,5,0,237,19,1,2018
335338,20110706110521,0,2,1,5,800,800,74,1,2011
