,TUCASEID,TRTALONE,TRNUMHOU,TRSPPRES,TELFS,TRTSPONLY,TRTFAMILY,TEAGE,TESEX,YEAR
471993,20151009152430,90,5,1,1,135,486,37,2,2015
149782,20060504060055,52,2,1,5,395,395,41,1,2006
449565,20150112141281,175,4,3,4,0,220,35,2,2015
251029,20090302091645,0,6,3,1,0,480,38,1,2009
580283,20191211191220,45,4,1,1,0,510,36,1,2019
22786,20030504032407,0,2,1,5,840,840,70,2,2003
641602,20220907222155,180,4,1,1,250,660,50,2,2022
617589,20210706211760,600,2,1,5,360,360,76,1,2021
209471,20080112071641,600,3,1,1,120,240,46,2,2008
282577,20100112091967,0,5,1,1,0,735,31,1,2010
385905,20130101131099,704,2,3,5,0,0,63,1,2013
30778,20030706030669,315,4,3,1,0,0,50,1,2003
93038,20041110041165,128,3,3,1,0,266,33,2,2004
